"","X","tree.size","tree.number","sig2.1","sig2.2","sig2.cov","root.1","root.2","r.term.1","r.term.2","r.term.cov","est.sig2.1","est.sig2.2","est.sig2.cov","est.root.1","est.root.2","est.r.term.1","est.r.term.2","est.r.term.cov","log.likelihood","convergence"
"36",9,50,4,1,0.5,-0.5,0,0,-0.0921034037197618,-0.0921034037197618,-0.0921034037197618,0.0422239826524714,0.0265978914488506,-0.204318211541297,1270043870648476,892381217173864,0.0490805235512419,0.0460313416350426,0,35271066381658882048,10
"37",1,50,5,1,0.5,0,0,0,-0.0138629436111989,-0.0138629436111989,0,0.216496655470562,0.184156185773625,-0.269653420999311,-0.0213421161704247,-0.023206110927548,0.053658496793134,0.0529001804482865,0,-67.3890462226068,0
"38",2,50,5,1,0.5,0,0,0,-0.0460517018598809,-0.0460517018598809,0,0.439616229746377,0.0963133880723951,-0.245451812282663,1010699216759091,198743137486049,0.042732517029169,0.0209369678791567,0,12912664556601340,10
"39",3,50,5,1,0.5,0,0,0,-0.0921034037197618,-0.0921034037197618,0,0.209153281812872,0.0228806529937486,0.120054910121366,9707068922596730,-5693447138919047,0.038346658265205,0.0550072365999034,0,4755801206503243776,10
"40",4,50,5,1,0.5,0.5,0,0,-0.0138629436111989,-0.0138629436111989,-0.0138629436111989,0.170008361753208,0.16591069799005,0.355017276196568,40571866168784.5,-37937750890193.8,0.0394399738638684,0.0509439957437691,0,70373417102082032,10
"41",5,50,5,1,0.5,0.5,0,0,-0.0460517018598809,-0.0460517018598809,-0.0460517018598809,0.240921463355438,0.0814667356135871,0.190266117560738,77042505630577,-64702561886236.1,0.014081443842902,0.0186517070576213,0,23694475578572864,0
"42",6,50,5,1,0.5,0.5,0,0,-0.0921034037197618,-0.0921034037197618,-0.0921034037197618,0.18855387942768,0.0331922000262867,0.152869541990408,1.37142625538174,-10.6606226514073,0.0247959296003141,0.03815045571467,0,88787.3956380382,10
"43",7,50,5,1,0.5,-0.5,0,0,-0.0138629436111989,-0.0138629436111989,-0.0138629436111989,0.18606903702255,0.243807013242481,-0.627724889226395,-81.3159072061239,3.73232824715939,0.0637485294644322,0.0277580704896081,0,6935.32357256846,10
"44",8,50,5,1,0.5,-0.5,0,0,-0.0460517018598809,-0.0460517018598809,-0.0460517018598809,0.0534967949547594,0.171355917974152,-0.229804010511082,-136227705302175,-268129957061509,0.0425347862434697,0.0447711096310947,0,57539642504773648,0
"45",9,50,5,1,0.5,-0.5,0,0,-0.0921034037197618,-0.0921034037197618,-0.0921034037197618,0.0493015328304998,0.0392327070908775,-0.0717380770906181,4676767804537.13,3898937694111.92,0.0350868624520904,0.0265037332129266,0,7130058028220500,10
"46",1,50,2,1,0.5,0,0,0,-0.0138629436111989,-0.0138629436111989,0,0.184568660660611,0.231256558603956,0.392824120752321,405120850823369,-907475998720286,0.0254904582859895,0.0439945102146044,0,37154696925806560,10
"47",2,50,2,1,0.5,0,0,0,-0.0460517018598809,-0.0460517018598809,0,0.450191994290197,0.22667605525986,-0.000969254525213742,-1.37036121656215,0.292269075052558,-0.0713298652172283,-0.0694297544773364,0,67.3393500749119,0
"48",3,50,2,1,0.5,0,0,0,-0.0921034037197618,-0.0921034037197618,0,0.0871742511804398,0.00631849902532532,-0.0421987054403564,356037102179.493,11467684311194.9,0.00933089947253642,0.0844802698656455,0,80814104641584.4,10
"49",4,50,2,1,0.5,0.5,0,0,-0.0138629436111989,-0.0138629436111989,-0.0138629436111989,0.996031163255236,0.0734553162359134,0.683632369794039,-360619137427906,285329288117054,0.0272464843794931,0.0645356756953712,0,5383208929591230,10
"50",5,50,2,1,0.5,0.5,0,0,-0.0460517018598809,-0.0460517018598809,-0.0460517018598809,0.160449385863625,0.101382704423481,0.0312827453005041,0.0418991039690695,-0.125315221257915,-0.0303107221709912,-0.0235167165065964,0,60.1181121108308,0
"51",6,50,2,1,0.5,0.5,0,0,-0.0921034037197618,-0.0921034037197618,-0.0921034037197618,0.0542976118551433,0.037258525477537,0.0528352840235413,835779765843.702,-37090986289.1199,0.024658268653496,0.0176994093780793,0,1303651423354958,10
"52",7,50,2,1,0.5,-0.5,0,0,-0.0138629436111989,-0.0138629436111989,-0.0138629436111989,0.471101986664564,0.0915271587211814,-0.300067931239106,-13595065090037.2,-8967801836764.22,0.0179842980245361,0.0251955206137677,0,419463685996546,10
