,X,tree.size,tree.number,sig2.1,sig2.2,sig2.3,sig2.4,theta.1,theta.2,alpha.1,alpha.2,alpha.3,alpha.4,est.sig2.1,est.sig2.2,est.sig2.3,est.sig2.4,est.theta.1,est.theta.2,est.alpha.1,est.alpha.2,est.alpha.3,est.alpha.4,log.likelihood,convergence
1465,25,150,3,1,0.5,0.5,0.5,1,2,0.693147181,0,0,0.34657359,740.6071372,967.5313655,967.5313655,1264.07878,1.189616985,1.831469189,272.3338778,397.5662381,397.5662381,815.8286803,-342.328846,0
1466,26,150,3,1,0.5,0.5,0.5,1,2,0.693147181,0.259930193,0.259930193,0.34657359,78.38919064,86.59093474,86.59093474,119.8077943,1.25868575,1.262756638,43.2108248,44.85239957,44.85239957,86.36954734,-334.6729897,0
1467,27,150,3,1,0.5,0.5,0.5,1,2,0.693147181,-0.259930193,-0.259930193,0.34657359,56.23670595,106.336427,106.336427,201.0685995,0.741964898,1.423733661,24.89354044,15.29922183,15.29922183,118.3447732,-322.0462142,0
1468,28,150,3,1,0.5,0.5,0.5,1,2,0.693147181,0.259930193,0,0.34657359,677.6194556,111.6258235,111.6258235,18.38838068,0.76131156,1.797309873,519.6642332,-118.7540924,-118.7540924,137.5659248,-281.2100863,0
1469,29,150,4,1,0.5,0.5,0.5,1,2,0.138629436,0,0,0.069314718,0.800867267,0.457610125,0.457610125,0.649535627,0.437197498,0.658407718,0.128236328,0.021824873,0.021824873,0.197782881,-285.0168905,0
1470,30,150,4,1,0.5,0.5,0.5,1,2,0.138629436,0.051986039,0.051986039,0.069314718,0.979777191,0.394674091,0.394674091,0.445240048,0.378431982,0.179371062,0.131394822,0.018825434,0.018825434,0.178535261,-278.6181272,0
1471,31,150,4,1,0.5,0.5,0.5,1,2,0.138629436,-0.051986039,-0.051986039,0.069314718,1.214934646,0.712717415,0.712717415,0.651247842,-1.958627582,-1.200593803,0.131615615,0.031020603,0.031020603,0.007311312,-294.2533526,0
1472,32,150,4,1,0.5,0.5,0.5,1,2,0.138629436,0.051986039,0,0.069314718,0.999639095,0.584407456,0.584407456,0.587002975,0.676025342,0.748178523,0.200869211,0.120807257,0.120807257,0.072656355,-272.3617986,0
1473,33,150,1,1,-0.5,-0.5,0.5,1,2,0,0,0,0,100.0951631,23.90399196,23.90399196,75.24573844,1.484929926,-0.565504971,12.69453418,13.05812393,13.05812393,29.5708027,-583.046753,0
1474,34,150,1,1,-0.5,-0.5,0.5,1,2,0,0,0,0,113.8802463,-13.06196865,-13.06196865,35.02285633,1.471948783,-0.11954181,10.33035713,2.983779266,2.983779266,10.89775512,-588.399521,0
1475,35,150,1,1,-0.5,-0.5,0.5,1,2,0,0,0,0,35.19195143,-8.3619157,-8.3619157,14.84485515,1.824332007,0.073823613,5.275627947,4.094196582,4.094196582,5.666302226,-568.8361161,0
1476,36,150,1,1,-0.5,-0.5,0.5,1,2,0,0,0,0,147.5041942,-54.90830097,-54.90830097,51.21024727,-0.542889885,1.3425518,15.77101598,2.532941784,2.532941784,12.88118909,-556.11566,0
1477,37,150,2,1,-0.5,-0.5,0.5,1,2,1.386294361,0,0,0.693147181,1.033259597,-0.491068478,-0.491068478,0.478209676,1.106310264,1.866723687,1.738351184,0.097346473,0.097346473,0.812910238,-145.6246151,0
1478,38,150,2,1,-0.5,-0.5,0.5,1,2,1.386294361,0.519860385,0.519860385,0.693147181,1.167868622,-0.569592249,-0.569592249,0.509380994,1.240763988,1.701261236,1.669673539,0.683967532,0.683967532,0.909818925,-164.977975,0
1479,39,150,2,1,-0.5,-0.5,0.5,1,2,1.386294361,-0.519860385,-0.519860385,0.693147181,1.179732009,-0.721791608,-0.721791608,0.722017428,0.942053245,1.772961059,1.721887433,-0.814896513,-0.814896513,1.11023688,-160.3165397,0
1480,40,150,2,1,-0.5,-0.5,0.5,1,2,1.386294361,0.519860385,0,0.693147181,1.324170379,-0.715717278,-0.715717278,0.563968399,0.914060414,2.043065909,1.582609916,-0.006199115,-0.006199115,0.481831002,-173.5568093,0
1481,41,150,3,1,-0.5,-0.5,0.5,1,2,0.693147181,0,0,0.34657359,267.6718175,-146.7694798,-146.7694798,163.0728753,1.028780294,1.617077236,202.372079,2.65103128,2.65103128,107.5642287,-329.3919426,0
