"","X","tree.size","tree.number","sig2.1","sig2.2","sig2.3","sig2.4","root.1","root.2","r.term.1","r.term.2","r.term.3","r.term.4","est.sig2.1","est.sig2.2","est.sig2.3","est.sig2.4","est.root.1","est.root.2","est.r.term.1","est.r.term.2","est.r.term.3","est.r.term.4","log.likelihood","convergence"
"680",32,150,2,0.01,0.005,0.005,0.005,0,0,0.026080153369521,0.026080153369521,0.026080153369521,0.026080153369521,0.537948237065843,0.00821904018257471,0.0992589991134298,1.04300747401797,0.871741978177093,0.471581973257302,0.00220797942055141,-0.0446265612691575,-0.0182931559151575,-0.115335101990503,-17713003.5363824,1
"681",33,150,3,0.01,0.005,0.005,0.005,0,0,0.0307011345732539,0.0307011345732539,0.0307011345732539,0.0307011345732539,0.533108043536949,-0.0257932749365441,0.0685812112104832,1.0236996638962,0.965504693783299,0.499290865404589,-0.0394199578661426,-0.117712973547292,0.00887960863004492,-0.0735019989468835,-26909639.6243616,1
"682",34,150,1,0.01,-0.005,-0.005,0.005,0,0,0.015350567286627,0.015350567286627,0.015350567286627,0.015350567286627,0.521866903440258,0.0147023179215269,0.0434811888784186,1.01977666131469,0.970269403191688,0.485725837251731,-0.0944909645913278,-0.0435810370068288,-0.0435999981611109,-0.0694763073817929,-3462383.33977729,1
"683",35,150,2,0.01,-0.005,-0.005,0.005,0,0,0.026080153369521,0.026080153369521,0.026080153369521,0.026080153369521,0.547158851311778,-0.00636639873532771,0.0582088286440479,0.997104122067959,0.9747854771992,0.48742910763879,-0.0497044253703232,-0.039459103780456,-0.0555523665092301,-0.120519142011515,-23423232.858169,1
"684",36,150,3,0.01,-0.005,-0.005,0.005,0,0,0.0307011345732539,0.0307011345732539,0.0307011345732539,0.0307011345732539,0.536764932208768,0.0042858197749003,0.0578483785890629,1.02533424313991,0.958381607869868,0.48248601946833,-0.0284740696379514,-0.0627322090778884,-0.0271438490539177,-0.134702047167758,-85046095.6766312,1
"685",1,20,1,0.01,0,0,0.005,0,0,0.115129254649702,0,0,0.115129254649702,0.442726393884112,0.00919343701885434,0.292131435849238,0.895974677449876,0.786120575081185,0.40952070853357,0.00601682418444018,-0.0219602839033514,0.105678849011078,-0.00319466883207157,-278348.758945487,1
"686",2,20,2,0.01,0,0,0.005,0,0,0.195601150271407,0,0,0.195601150271407,0.0121675390180605,0.134675859208732,0.254666504338959,0.836133221503692,0.547876762001754,0.104306955938845,0.260691362992993,0.193337726416105,0.0135329687438851,0.042848096202733,-19941.3996356781,1
"687",3,20,3,0.01,0,0,0.005,0,0,0.230258509299405,0,0,0.230258509299405,0.869404573197367,0.432478653965898,0.286295191271078,0.0135545956813412,0.804194289692077,0.584414321437253,0.194152791374562,-0.49747938188587,-0.109701413452024,0.375319217049878,104.072624284501,1
"688",4,20,1,0.01,0.005,0.005,0.005,0,0,0.115129254649702,0.115129254649702,0.115129254649702,0.115129254649702,0.545531931007883,0.0308195978489194,0.132801541721525,0.811532255696334,0.934015393954812,0.487042311333701,0.010829113386695,0.0533498540441227,-0.0143149394451096,-0.143232424822952,14.8157680620431,1
"689",5,20,2,0.01,0.005,0.005,0.005,0,0,0.195601150271407,0.195601150271407,0.195601150271407,0.195601150271407,0.639901043309971,-0.307765689504988,0.581101096843935,0.133487636906975,0.927039673434339,0.34236334594558,0.123269638894315,0.120255707229693,0.0808273389006299,0.146411101456496,-93.4894670437068,10
"690",6,20,3,0.01,0.005,0.005,0.005,0,0,0.230258509299405,0.230258509299405,0.230258509299405,0.230258509299405,0.326152229737775,0.0342725286779042,-0.106628356772411,0.57633465861386,1.00835788932548,0.169104352864596,0.195078128786272,0.48147950877247,-0.295585883692671,0.118478374832856,81.3162403535394,1
"691",7,20,1,0.01,-0.005,-0.005,0.005,0,0,0.115129254649702,0.115129254649702,0.115129254649702,0.115129254649702,0.510050946649757,-0.0647507983488724,-0.275986865940893,1.04259778527683,1.10564574325762,0.662617973067933,-0.0228705526930949,-0.0675192863976579,0.0631804987741338,-0.0856652495803942,-169933.468836111,1
"692",8,20,2,0.01,-0.005,-0.005,0.005,0,0,0.195601150271407,0.195601150271407,0.195601150271407,0.195601150271407,0.405263842188915,-0.314512309420982,-0.0218164957841988,0.714019064080689,1.03790393706928,0.470117914009098,0.144626573640914,-0.00435829763469036,0.1980540680862,0.053618295206834,71.228889359129,1
"693",9,20,3,0.01,-0.005,-0.005,0.005,0,0,0.230258509299405,0.230258509299405,0.230258509299405,0.230258509299405,0.601682058604261,-0.43921509783534,-0.208361046174017,0.785513140261001,0.902171187040291,0.486896819308028,0.190423963130512,0.0585137370490649,0.380778249308035,0.127343640958256,-2797559.43396759,1
"694",10,50,1,0.01,0,0,0.005,0,0,0.0460517018598809,0,0,0.0460517018598809,0.499336742821955,-0.00156748396622181,0.0996618711908983,0.99803790128618,0.996503775322018,0.501619842094795,-0.0942552971085242,-0.0485431218446237,-0.0540391525374604,-0.0957289982881921,-1656271.52326805,1
